key,name,description,gender,image,birthdate,deathdate
Q4934381,김을동,South Korean politician and actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Eul-Dong.jpg,19450905,
Q12588365,김응수 (배우),South Korean actor,M,,19610212,
Q16177950,김익기,대한민국의 국회의원,M,,19160219,19921001
Q41117,김일성,조선민주주의인민공화국의 초대 최고 지도자,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Il%20Sung%20Portrait-2.jpg,19120415,19940708
Q16080365,김일우,대한민국의 남자 배우 (1953년-2004년),M,,19530524,20040613
Q12588486,김재열,기업인,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jae-Yeol%20from%20acrofan.jpg,19681014,
Q16080380,김재춘,"8-9대 국회의원, 3대 중앙정보부장",M,,19270604,20140102
Q55728317,김재호,대한민국의 언론인,M,,,
Q6408844,김재호 (판사),South Korean judge,M,,19630101,
Q56804679,김재희,조선 후기의 부농,M,,,
Q317824,김정남,North Korean politician,M,,19710510,20170213
Q15125241,김정민,South Korean singer and actor,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jung-Min%20%28born%201968%29%20from%20acrofan.jpg,19680823,
Q181993,김정숙,North Korean politician,F,,19300101,
Q56698591,김정숙,교사 김영한의 자녀,F,,19370101,
Q29881198,김정숙,"대한민국의 영부인으로, 문재인 대통령의 부인",F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jung-sook%281954%29.jpg,19541115,
Q463949,김정숙,"조선의 독립운동가, 조선민주주의인민공화국의 정치인",F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jeong%20Suk%201.jpg,19171224,19490922
Q56226,김정은,조선민주주의인민공화국의 국가원수,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20and%20Trump%20standing%20next%20to%20each%20other%20%28cropped%29.jpg,19840108,
Q10665,김정일,조선민주주의인민공화국의 국가 원수,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jong-il%20on%20August%2024%2C%202011.jpg,19410216,20111217
Q12588578,김정주,"Korean businessman who co-founded Korea's largest gaming company, Nexon",M,,19680222,
Q385795,김정철,son of Kim Jong-il,M,,19810925,
Q489934,김정화,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jung-hwa%2C%202010%20%28cropped%29.jpg,19830909,
Q56812296,김정환,기업가 김종대의 아버지,M,,,
Q56812282,김종대,"대한민국의 기업인, 전 효성기계 회장",M,,19210302,20030216
Q12588656,김종량,전 한양대 총장,M,,19500904,
Q12588692,김종진 (가수),"South Korean singer, musician, composer and actor",M,http://commons.wikimedia.org/wiki/Special:FilePath/Spring%20Summer%20Autumn%20Winter.jpg,19621219,
Q246167,김종필,정치인,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jong-pil%201999.png,19260107,20180623
Q490001,김좌진,South Korean anarchist,M,http://commons.wikimedia.org/wiki/Special:FilePath/KimJwaJin.gif,18891216,19300124
Q14864448,김주애,김정은과 이설주의 딸,F,,20130219,
Q12966460,김주일,South Korean actress,F,,19760127,
Q28607727,김중수,badminton player,M,,19600417,
Q6408879,김지미,South Korean actress and film producer,F,,19400715,
Q18550343,김지수,,F,,,
Q12588811,김지연 (1978년),South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Ji-Yeon.jpg,19780301,
Q6679200,김지영,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Ji-young%20%28actress%2C%20born%201974%29%20from%20acrofan.jpg,19740907,
Q56435884,김지용,전 용평리조트 상무,M,,,
Q7204311,김지호 (배우),South Korean actress,F,,19740722,
Q6408910,김진규,"South Korean actor, film director and producer",M,,19220406,19980618
Q12966451,김진근,South Korean actor,M,,19670101,
Q12588854,김진민 (연출자),,M,,19720101,
Q12588862,김진수 (배우),South Korean film actor,M,,19710220,
Q16179779,김진아,South Korean actor,M,,19631024,20140820
Q56533201,김창호,전 숭실대 이사장,M,,19350101,
Q22973181,김채영,South Korean Go player,F,,19960115,
Q495480,김책,North Korean general and politician,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Chaek.jpg,19030814,19510131
Q56434241,김태령,일민미술관 관장,F,,,
Q11704505,김태용,South Korean film director and screenwriter,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Tae-Yong.jpg,19691209,
Q12589044,김태욱 (가수),,M,,19690905,
Q28355519,김태호,South Korean politician,M,,19350303,20020710
Q56651569,김태호,전 충북대 교수,M,,19500101,
Q56660168,김태효,"교수, 관료",M,,19670101,
Q710805,김평일,North Korean diplomat,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Pyong-il.jpg,19540810,
Q10855915,김한길,대한민국의 정치인,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Han-Gil%20%28cropped%29.jpg,19530917,
Q1280778,김한솔,Korean student,M,,19950616,
Q56668947,김향식,한학자 김원만의 자녀,F,,,
Q16080674,김혁,South Korean actor,M,,19821221,
Q56533257,김형남,전 숭실대 총장,M,,19050101,19780101
Q56664951,김형신,정치인 김익기의 자녀,F,,19530101,
Q56664874,김형일,정치인 김익기의 자녀,F,,19460101,
Q6408801,김형주,South Korean judoka,M,,19760314,
Q489279,김형직,한국의 독립 운동가,M,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%87%91%E4%BA%A8%E7%A8%B7%201.jpg,18940710,19260605
Q27824719,김혜정,badminton player,F,,19980103,
Q12589318,김호진 (배우),South Korean actor and television host,M,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Dios%20Built-In%20Cooking%20Class%20with%20Kim%20Ho-Jin.jpg,19700505,
Q12589320,김홍걸 (1963년),,M,,19631112,
Q12589329,김홍업,South Korean politician,M,,19500729,
Q12589333,김홍일 (1948년),South Korean politician,M,,19480121,
Q47529,김황식,South Korean lawyer and politician,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Hwang%20Sik-1-1.jpg,19480809,
Q483661,김효진,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Hyo-jin%2C%202013%20%28cropped%29.jpg,19840210,
Q14626387,김희,son of  Kim Ahn-ro and husband of Princess Hyohye,M,,,15310101
Q15711594,김희라,South Korean actor,M,,19470323,
Q6956410,나경원,대한민국의 정치인,F,http://commons.wikimedia.org/wiki/Special:FilePath/Korea%20Special%20Olympics%20Na%20Kyung-Won%2010.jpg,19630101,
Q17304817,나봉한,South Korean film director,M,,19340415,
