key,name,description,gender,image,birthdate,deathdate
Q14626387,김희,조선 중기의 문신,M,,,15310101
Q15711594,김희라,배우,M,,19470323,
Q57024936,김희용,"기업가, 동양물산 회장",M,,19420101,
Q57023836,김희철,벽산그룹 회장,M,,19370101,
Q6956410,나경원,정치인,F,https://commons.wikimedia.org/wiki/Special:FilePath/Korea%20Special%20Olympics%20Na%20Kyung-Won%2010.jpg,19630101,
Q17304817,나봉한,영화 감독,M,,19340415,
Q339595,나시모토노미야 모리마사,Japanese prince,M,https://commons.wikimedia.org/wiki/Special:FilePath/Morimasa%20Nashimotonomiya.jpg,18740309,19510102
Q10855990,나시모토노미야 이쓰코,Japanese princess,F,https://commons.wikimedia.org/wiki/Special:FilePath/Nashimoto-no-miya-hi-Itsuko%201915-11-14.jpg,18820202,19760819
Q841146,나운규,"독립운동가, 영화인",M,https://commons.wikimedia.org/wiki/Special:FilePath/Na%20Woon-gyu.jpg,19021027,19370809
Q16183879,나혜국,,F,,19010101,19920101
Q12589753,남경민,배우,F,,19871027,
Q6961101,남궁원,배우,M,https://commons.wikimedia.org/wiki/Special:FilePath/Namkoong%20Won%20at%2018th%20Puchon%20International%20Fantastic%20Film%20Festival%2C%20July%2017%2C%202014.jpg,19340801,
Q7253672,남성진,South Korean actor,M,,19701231,
Q6780884,남연군,ruler of Korea,M,,17880101,18360505
Q12590006,남일우,배우,M,,19380525,
Q12590047,남진우,시인,M,,19600904,
Q12590302,노건평,기업인,M,,19420130,
Q16261253,노경수,정치학자,M,,19541027,
Q14345,노무현,제16대 대통령,M,https://commons.wikimedia.org/wiki/Special:FilePath/Roh%20Moo-hyun%202004-10-26.jpg,19460901,20090523
Q16219820,노소영,미술관장,F,https://commons.wikimedia.org/wiki/Special:FilePath/2015.10.15.%20cc%20global%20summit%20%2822021446879%29.jpg,19610331,
Q211648,노신영,정치인,M,,19300228,
Q12590406,노영심,피아노 연주자,F,,19680215,
Q16160910,노유정,South Korean actress,F,,19641130,
Q12590443,노재헌,변호사,M,,19651103,
Q56812355,노정호,교수,M,,19630101,
Q56839869,노철수,기업인,M,,19560101,
Q242651,노태우,제13대 대통령,M,https://commons.wikimedia.org/wiki/Special:FilePath/Roh%20Tae-woo%20-%20cropped%2C%201989-Mar-13.jpg,19321204,
Q57156908,노판석,대통령 노무현의 아버지,M,,19000101,19760101
Q56839751,노혜경,전 국무총리 노신영의 자녀,F,,19600101,
Q16192929,닐 샤피로,전 NBC 뉴스 사장,M,,19580309,
Q842800,다니 루미코,Japanese singer,F,,19790814,
